X,Y,FID,ID,Longitud,latitud,Nombre_Con,Comuna,Región,Total_depa,Año_Permi,Superficie,Villa_de_B,jardin_inf,Ed_basica,Ed_media,Hospital,Consultori,Sapu,Bomberos
-71.565682224785505,-33.0478289601649,425,423,-71.565682,-33.047829,Población Borinquen III,Viña del Mar,V,108,1978,55.95,No,545.017059,623.231448,2497.727841,2447.446624,120.991368,120.991368,892.459236
-71.517527526184395,-33.019644078967318,426,424,-71.517528,-33.019644,Población La Concepción,Viña del Mar,V,480,1978,73.68875,No,210.715916,166.107868,978.165799,2547.438181,828.672034,235.639929,1652.795823
-71.522754154044705,-33.019801942553009,427,425,-71.522754,-33.019802,Población Carlos Condell,Viña del Mar,V,256,1976,68.236875,No,165.626119,592.117864,1433.021344,2104.034307,869.590882,704.898857,1277.354003
-71.503371610671906,-33.028791393130511,428,426,-71.503372,-33.028791,Población Rafael Villacura,Viña del Mar,V,54,1992,56.16,No,756.995816,756.661074,750.158286,3640.874177,718.149954,1436.731833,2658.861678
-71.497815552322507,-33.00380661602771,429,427,-71.497816,-33.003807,Villa Los Alelíes,Viña del Mar,V,120,1994,46.97,No,501.067153,848.586425,2130.599001,5022.560883,704.942281,2475.484616,1940.539468
-71.503122888212005,-33.023106734291908,430,428,-71.503123,-33.023107,Villa Dulce Norte (Ampliación),Viña del Mar,V,132,1995,49.213636,No,674.182906,229.834397,454.038254,3725.222269,218.455459,1169.050043,2745.841447
-71.502336610773,-33.023894472279913,431,429,-71.502337,-33.023894,Villa Génesis (Villa Dulce Norte),Viña del Mar,V,12,1995,43,No,736.212824,274.619444,531.997438,3782.998846,301.227624,1263.06575,2800.668855
-71.500279454729906,-33.005520314277888,432,430,-71.500279,-33.00552,Condominio Los Alelíes,Viña del Mar,V,230,1999,45.888261,No,279.749624,635.37708,1992.446175,4725.361767,646.466703,2181.250867,1800.514943
-71.545353134592204,-33.047076706822502,433,431,-71.545353,-33.047077,Conjunto San Expedito,Viña del Mar,V,240,2005,54.5275,No,280.681614,602.456861,602.456861,2006.517389,570.745148,1780.982804,1638.803388
-71.497136898568996,-32.996096549930691,434,432,-71.497137,-32.996097,Condominio El Ciprés,Viña del Mar,V,36,2009,52.444444,No,673.62633,637.208971,2080.045451,5595.025897,875.461563,3202.467986,1918.28344
-71.496702463470598,-32.997910700438787,435,433,-71.496702,-32.997911,Condominio Praderas de Reñaca,Viña del Mar,V,150,2011,62.08,No,773.198491,740.059609,2115.696467,5496.571792,805.581176,3056.44487,1944.352908
